Merge process started at Tue Sep 23 06:07:33 PM UTC 2025
Tue Sep 23 06:08:22 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-0dc5 is already merged, skipping...
Tue Sep 23 06:08:22 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-0dd7 is already merged, skipping...
Tue Sep 23 06:08:22 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-0dda is already merged, skipping...
Tue Sep 23 06:08:23 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-0df3 is already merged, skipping...
Tue Sep 23 06:08:24 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-0e37 is already merged, skipping...
Tue Sep 23 06:08:24 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-0e63 is already merged, skipping...
Tue Sep 23 06:08:24 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-0eb7 is already merged, skipping...
Tue Sep 23 06:08:25 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-0efc is already merged, skipping...
Tue Sep 23 06:08:25 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1101 is already merged, skipping...
Tue Sep 23 06:08:26 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-113c is already merged, skipping...
Tue Sep 23 06:08:26 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-117b is already merged, skipping...
Tue Sep 23 06:08:26 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1190 is already merged, skipping...
Tue Sep 23 06:08:27 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1207 is already merged, skipping...
Tue Sep 23 06:08:28 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-121e is already merged, skipping...
Tue Sep 23 06:08:28 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1236 is already merged, skipping...
Tue Sep 23 06:08:29 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-126f is already merged, skipping...
Tue Sep 23 06:08:30 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-12ad is already merged, skipping...
Tue Sep 23 06:08:30 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-12c4 is already merged, skipping...
Tue Sep 23 06:08:31 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-12e7 is already merged, skipping...
Tue Sep 23 06:08:32 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-133d is already merged, skipping...
Tue Sep 23 06:08:32 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1363 is already merged, skipping...
Tue Sep 23 06:08:33 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-138f is already merged, skipping...
Tue Sep 23 06:08:34 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-13a1 is already merged, skipping...
Tue Sep 23 06:08:34 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-13c8 is already merged, skipping...
Tue Sep 23 06:08:34 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1454 is already merged, skipping...
Tue Sep 23 06:08:34 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-14d0 is already merged, skipping...
Tue Sep 23 06:08:35 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-14f3 is already merged, skipping...
Tue Sep 23 06:08:35 PM UTC 2025: Starting batch 3 (branches 101-150)
Tue Sep 23 06:08:35 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1510 is already merged, skipping...
Tue Sep 23 06:08:35 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-15ce is already merged, skipping...
Tue Sep 23 06:08:36 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-15da is already merged, skipping...
Tue Sep 23 06:08:36 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1631 is already merged, skipping...
Tue Sep 23 06:08:37 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1693 is already merged, skipping...
Tue Sep 23 06:08:38 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-16bb is already merged, skipping...
Tue Sep 23 06:08:38 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-16bf is already merged, skipping...
Tue Sep 23 06:08:39 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-16fa is already merged, skipping...
Tue Sep 23 06:08:40 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1707 is already merged, skipping...
Tue Sep 23 06:08:40 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-177b is already merged, skipping...
Tue Sep 23 06:08:41 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-17dd is already merged, skipping...
Tue Sep 23 06:08:42 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1840 is already merged, skipping...
Tue Sep 23 06:08:42 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-18a6 is already merged, skipping...
Tue Sep 23 06:08:43 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1929 is already merged, skipping...
Tue Sep 23 06:08:43 PM UTC 2025: Attempting to merge branch: cursor/check-fix-push-and-merge-to-main-195e
Tue Sep 23 06:08:43 PM UTC 2025: Merge attempt 1 for branch: cursor/check-fix-push-and-merge-to-main-195e
Tue Sep 23 06:08:44 PM UTC 2025: Merge attempt 2 for branch: cursor/check-fix-push-and-merge-to-main-195e
Tue Sep 23 06:08:46 PM UTC 2025: Successfully merged cursor/check-fix-push-and-merge-to-main-195e (preferring main)
Tue Sep 23 06:08:46 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1964 is already merged, skipping...
Tue Sep 23 06:08:46 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-196f is already merged, skipping...
Tue Sep 23 06:08:47 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1988 is already merged, skipping...
Tue Sep 23 06:08:48 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1991 is already merged, skipping...
Tue Sep 23 06:08:48 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-19c7 is already merged, skipping...
Tue Sep 23 06:08:49 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-19cb is already merged, skipping...
Tue Sep 23 06:08:49 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1a66 is already merged, skipping...
Tue Sep 23 06:08:50 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1a6e is already merged, skipping...
Tue Sep 23 06:08:50 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1aa6 is already merged, skipping...
Tue Sep 23 06:08:51 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1ac1 is already merged, skipping...
Tue Sep 23 06:08:51 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1ae6 is already merged, skipping...
Tue Sep 23 06:08:52 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1b0b is already merged, skipping...
Tue Sep 23 06:08:52 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1b12 is already merged, skipping...
Tue Sep 23 06:08:52 PM UTC 2025: Attempting to merge branch: cursor/check-fix-push-and-merge-to-main-1b76
Tue Sep 23 06:08:52 PM UTC 2025: Merge attempt 1 for branch: cursor/check-fix-push-and-merge-to-main-1b76
Tue Sep 23 06:08:53 PM UTC 2025: Merge attempt 2 for branch: cursor/check-fix-push-and-merge-to-main-1b76
Tue Sep 23 06:08:59 PM UTC 2025: Merge attempt 3 for branch: cursor/check-fix-push-and-merge-to-main-1b76
Tue Sep 23 06:09:05 PM UTC 2025: Failed to merge cursor/check-fix-push-and-merge-to-main-1b76 after 3 attempts
Tue Sep 23 06:09:05 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1bf1 is already merged, skipping...
Tue Sep 23 06:09:06 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1c18 is already merged, skipping...
Tue Sep 23 06:09:07 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1c6b is already merged, skipping...
Tue Sep 23 06:09:07 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1cf3 is already merged, skipping...
Tue Sep 23 06:09:07 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1d39 is already merged, skipping...
Tue Sep 23 06:09:07 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1d6b is already merged, skipping...
Tue Sep 23 06:09:07 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1d79 is already merged, skipping...
Tue Sep 23 06:09:07 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1e87 is already merged, skipping...
Tue Sep 23 06:09:08 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1e98 is already merged, skipping...
Tue Sep 23 06:09:08 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1f03 is already merged, skipping...
Tue Sep 23 06:09:08 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1f06 is already merged, skipping...
Tue Sep 23 06:09:09 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1f13 is already merged, skipping...
Tue Sep 23 06:09:09 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1f50 is already merged, skipping...
Tue Sep 23 06:09:10 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-1f53 is already merged, skipping...
Tue Sep 23 06:09:10 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-2016 is already merged, skipping...
Tue Sep 23 06:09:11 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-201f is already merged, skipping...
Tue Sep 23 06:09:11 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-20b6 is already merged, skipping...
Tue Sep 23 06:09:12 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-210a is already merged, skipping...
Tue Sep 23 06:09:12 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-210c is already merged, skipping...
Tue Sep 23 06:09:13 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-2143 is already merged, skipping...
Tue Sep 23 06:09:14 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-216b is already merged, skipping...
Tue Sep 23 06:09:14 PM UTC 2025: Starting batch 4 (branches 151-200)
Tue Sep 23 06:09:14 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-2173 is already merged, skipping...
Tue Sep 23 06:09:15 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-219e is already merged, skipping...
Tue Sep 23 06:09:15 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-220f is already merged, skipping...
Tue Sep 23 06:09:15 PM UTC 2025: Branch cursor/check-fix-push-and-merge-to-main-2247 is already merged, skipping...
